task,activities_std,epa_normalized_variant_entropy,eventropy_trace,mean_variant_occurrence,ratio_variants_per_number_of_traces,start_activities_median,trace_len_coefficient_variation
task_74,0.0,0.0,0.0,24500.67,1.0,1.0,0.68
task_75,0.0,0.0,0.0,24500.67,1.0,1.0,4.74
task_76,0.0,0.0,0.0,24500.67,1.0,7975.71,0.0
task_77,0.0,0.0,0.0,24500.67,1.0,7975.71,0.68
task_78,0.0,0.0,0.0,24500.67,1.0,7975.71,4.74
task_79,0.0,0.0,0.0,24500.67,1.0,150370.0,0.0
task_80,0.0,0.0,0.0,24500.67,1.0,150370.0,0.68
task_81,0.0,0.0,0.0,24500.67,1.0,150370.0,4.74
task_82,0.0,0.0,6.24,1.0,0.0,1.0,0.0
task_83,0.0,0.0,6.24,1.0,0.0,1.0,0.68
task_84,0.0,0.0,6.24,1.0,0.0,1.0,4.74
task_85,0.0,0.0,6.24,1.0,0.0,7975.71,0.0
task_86,0.0,0.0,6.24,1.0,0.0,7975.71,0.68
task_87,0.0,0.0,6.24,1.0,0.0,7975.71,4.74
task_88,0.0,0.0,6.24,1.0,0.0,150370.0,0.0
task_89,0.0,0.0,6.24,1.0,0.0,150370.0,0.68
task_90,0.0,0.0,6.24,1.0,0.0,150370.0,4.74
task_91,0.0,0.0,6.24,1.0,0.47,1.0,0.0
task_92,0.0,0.0,6.24,1.0,0.47,1.0,0.68
task_93,0.0,0.0,6.24,1.0,0.47,1.0,4.74
task_94,0.0,0.0,6.24,1.0,0.47,7975.71,0.0
task_95,0.0,0.0,6.24,1.0,0.47,7975.71,0.68
task_96,0.0,0.0,6.24,1.0,0.47,7975.71,4.74
task_97,0.0,0.0,6.24,1.0,0.47,150370.0,0.0
task_98,0.0,0.0,6.24,1.0,0.47,150370.0,0.68
task_99,0.0,0.0,6.24,1.0,0.47,150370.0,4.74
task_100,0.0,0.0,6.24,1.0,1.0,1.0,0.0
task_101,0.0,0.0,6.24,1.0,1.0,1.0,0.68
task_102,0.0,0.0,6.24,1.0,1.0,1.0,4.74
task_103,0.0,0.0,6.24,1.0,1.0,7975.71,0.0
task_104,0.0,0.0,6.24,1.0,1.0,7975.71,0.68
task_105,0.0,0.0,6.24,1.0,1.0,7975.71,4.74
task_106,0.0,0.0,6.24,1.0,1.0,150370.0,0.0
task_107,0.0,0.0,6.24,1.0,1.0,150370.0,0.68
task_108,0.0,0.0,6.24,1.0,1.0,150370.0,4.74
task_109,0.0,0.0,6.24,838.6,0.0,1.0,0.0
task_110,0.0,0.0,6.24,838.6,0.0,1.0,0.68
task_111,0.0,0.0,6.24,838.6,0.0,1.0,4.74
task_112,0.0,0.0,6.24,838.6,0.0,7975.71,0.0
task_113,0.0,0.0,6.24,838.6,0.0,7975.71,0.68
task_114,0.0,0.0,6.24,838.6,0.0,7975.71,4.74
task_115,0.0,0.0,6.24,838.6,0.0,150370.0,0.0
task_116,0.0,0.0,6.24,838.6,0.0,150370.0,0.68
task_117,0.0,0.0,6.24,838.6,0.0,150370.0,4.74
task_118,0.0,0.0,6.24,838.6,0.47,1.0,0.0
task_119,0.0,0.0,6.24,838.6,0.47,1.0,0.68
task_120,0.0,0.0,6.24,838.6,0.47,1.0,4.74
task_121,0.0,0.0,6.24,838.6,0.47,7975.71,0.0
task_122,0.0,0.0,6.24,838.6,0.47,7975.71,0.68
task_123,0.0,0.0,6.24,838.6,0.47,7975.71,4.74
task_124,0.0,0.0,6.24,838.6,0.47,150370.0,0.0
task_125,0.0,0.0,6.24,838.6,0.47,150370.0,0.68
task_126,0.0,0.0,6.24,838.6,0.47,150370.0,4.74
task_127,0.0,0.0,6.24,838.6,1.0,1.0,0.0
task_128,0.0,0.0,6.24,838.6,1.0,1.0,0.68
task_129,0.0,0.0,6.24,838.6,1.0,1.0,4.74
task_130,0.0,0.0,6.24,838.6,1.0,7975.71,0.0
task_131,0.0,0.0,6.24,838.6,1.0,7975.71,0.68
task_132,0.0,0.0,6.24,838.6,1.0,7975.71,4.74
task_133,0.0,0.0,6.24,838.6,1.0,150370.0,0.0
task_134,0.0,0.0,6.24,838.6,1.0,150370.0,0.68
task_135,0.0,0.0,6.24,838.6,1.0,150370.0,4.74
task_136,0.0,0.0,6.24,24500.67,0.0,1.0,0.0
task_137,0.0,0.0,6.24,24500.67,0.0,1.0,0.68
task_138,0.0,0.0,6.24,24500.67,0.0,1.0,4.74
task_139,0.0,0.0,6.24,24500.67,0.0,7975.71,0.0
task_140,0.0,0.0,6.24,24500.67,0.0,7975.71,0.68
task_141,0.0,0.0,6.24,24500.67,0.0,7975.71,4.74
task_142,0.0,0.0,6.24,24500.67,0.0,150370.0,0.0
task_143,0.0,0.0,6.24,24500.67,0.0,150370.0,0.68
task_144,0.0,0.0,6.24,24500.67,0.0,150370.0,4.74
task_145,0.0,0.0,6.24,24500.67,0.47,1.0,0.0
task_146,0.0,0.0,6.24,24500.67,0.47,1.0,0.68
task_147,0.0,0.0,6.24,24500.67,0.47,1.0,4.74
task_148,0.0,0.0,6.24,24500.67,0.47,7975.71,0.0
task_149,0.0,0.0,6.24,24500.67,0.47,7975.71,0.68
task_150,0.0,0.0,6.24,24500.67,0.47,7975.71,4.74
task_151,0.0,0.0,6.24,24500.67,0.47,150370.0,0.0
task_152,0.0,0.0,6.24,24500.67,0.47,150370.0,0.68
task_153,0.0,0.0,6.24,24500.67,0.47,150370.0,4.74
task_154,0.0,0.0,6.24,24500.67,1.0,1.0,0.0
task_155,0.0,0.0,6.24,24500.67,1.0,1.0,0.68
task_156,0.0,0.0,6.24,24500.67,1.0,1.0,4.74
task_157,0.0,0.0,6.24,24500.67,1.0,7975.71,0.0
task_158,0.0,0.0,6.24,24500.67,1.0,7975.71,0.68
task_159,0.0,0.0,6.24,24500.67,1.0,7975.71,4.74
task_160,0.0,0.0,6.24,24500.67,1.0,150370.0,0.0
task_161,0.0,0.0,6.24,24500.67,1.0,150370.0,0.68
task_162,0.0,0.0,6.24,24500.67,1.0,150370.0,4.74
task_163,0.0,0.0,13.36,1.0,0.0,1.0,0.0
task_164,0.0,0.0,13.36,1.0,0.0,1.0,0.68
task_165,0.0,0.0,13.36,1.0,0.0,1.0,4.74
task_166,0.0,0.0,13.36,1.0,0.0,7975.71,0.0
task_167,0.0,0.0,13.36,1.0,0.0,7975.71,0.68
task_168,0.0,0.0,13.36,1.0,0.0,7975.71,4.74
task_169,0.0,0.0,13.36,1.0,0.0,150370.0,0.0
task_170,0.0,0.0,13.36,1.0,0.0,150370.0,0.68
task_171,0.0,0.0,13.36,1.0,0.0,150370.0,4.74
task_172,0.0,0.0,13.36,1.0,0.47,1.0,0.0
task_173,0.0,0.0,13.36,1.0,0.47,1.0,0.68
task_174,0.0,0.0,13.36,1.0,0.47,1.0,4.74
task_175,0.0,0.0,13.36,1.0,0.47,7975.71,0.0
task_176,0.0,0.0,13.36,1.0,0.47,7975.71,0.68
task_177,0.0,0.0,13.36,1.0,0.47,7975.71,4.74
task_178,0.0,0.0,13.36,1.0,0.47,150370.0,0.0
task_179,0.0,0.0,13.36,1.0,0.47,150370.0,0.68
task_180,0.0,0.0,13.36,1.0,0.47,150370.0,4.74
task_181,0.0,0.0,13.36,1.0,1.0,1.0,0.0
task_182,0.0,0.0,13.36,1.0,1.0,1.0,0.68
task_183,0.0,0.0,13.36,1.0,1.0,1.0,4.74
task_184,0.0,0.0,13.36,1.0,1.0,7975.71,0.0
task_185,0.0,0.0,13.36,1.0,1.0,7975.71,0.68
task_186,0.0,0.0,13.36,1.0,1.0,7975.71,4.74
task_187,0.0,0.0,13.36,1.0,1.0,150370.0,0.0
task_188,0.0,0.0,13.36,1.0,1.0,150370.0,0.68
task_189,0.0,0.0,13.36,1.0,1.0,150370.0,4.74
task_190,0.0,0.0,13.36,838.6,0.0,1.0,0.0
task_191,0.0,0.0,13.36,838.6,0.0,1.0,0.68
task_192,0.0,0.0,13.36,838.6,0.0,1.0,4.74
task_193,0.0,0.0,13.36,838.6,0.0,7975.71,0.0
task_194,0.0,0.0,13.36,838.6,0.0,7975.71,0.68
task_195,0.0,0.0,13.36,838.6,0.0,7975.71,4.74
task_196,0.0,0.0,13.36,838.6,0.0,150370.0,0.0
task_197,0.0,0.0,13.36,838.6,0.0,150370.0,0.68
task_198,0.0,0.0,13.36,838.6,0.0,150370.0,4.74
task_199,0.0,0.0,13.36,838.6,0.47,1.0,0.0
task_200,0.0,0.0,13.36,838.6,0.47,1.0,0.68
task_201,0.0,0.0,13.36,838.6,0.47,1.0,4.74
task_202,0.0,0.0,13.36,838.6,0.47,7975.71,0.0
task_203,0.0,0.0,13.36,838.6,0.47,7975.71,0.68
task_204,0.0,0.0,13.36,838.6,0.47,7975.71,4.74
task_205,0.0,0.0,13.36,838.6,0.47,150370.0,0.0
task_206,0.0,0.0,13.36,838.6,0.47,150370.0,0.68
task_207,0.0,0.0,13.36,838.6,0.47,150370.0,4.74
task_208,0.0,0.0,13.36,838.6,1.0,1.0,0.0
task_209,0.0,0.0,13.36,838.6,1.0,1.0,0.68
task_210,0.0,0.0,13.36,838.6,1.0,1.0,4.74
task_211,0.0,0.0,13.36,838.6,1.0,7975.71,0.0
task_212,0.0,0.0,13.36,838.6,1.0,7975.71,0.68
task_213,0.0,0.0,13.36,838.6,1.0,7975.71,4.74
task_214,0.0,0.0,13.36,838.6,1.0,150370.0,0.0
task_215,0.0,0.0,13.36,838.6,1.0,150370.0,0.68
task_216,0.0,0.0,13.36,838.6,1.0,150370.0,4.74
task_217,0.0,0.0,13.36,24500.67,0.0,1.0,0.0
task_218,0.0,0.0,13.36,24500.67,0.0,1.0,0.68
task_219,0.0,0.0,13.36,24500.67,0.0,1.0,4.74
task_220,0.0,0.0,13.36,24500.67,0.0,7975.71,0.0
task_221,0.0,0.0,13.36,24500.67,0.0,7975.71,0.68
task_222,0.0,0.0,13.36,24500.67,0.0,7975.71,4.74
task_223,0.0,0.0,13.36,24500.67,0.0,150370.0,0.0
task_224,0.0,0.0,13.36,24500.67,0.0,150370.0,0.68
task_225,0.0,0.0,13.36,24500.67,0.0,150370.0,4.74
task_226,0.0,0.0,13.36,24500.67,0.47,1.0,0.0
task_227,0.0,0.0,13.36,24500.67,0.47,1.0,0.68
task_228,0.0,0.0,13.36,24500.67,0.47,1.0,4.74
task_229,0.0,0.0,13.36,24500.67,0.47,7975.71,0.0
task_230,0.0,0.0,13.36,24500.67,0.47,7975.71,0.68
task_231,0.0,0.0,13.36,24500.67,0.47,7975.71,4.74
task_232,0.0,0.0,13.36,24500.67,0.47,150370.0,0.0
task_233,0.0,0.0,13.36,24500.67,0.47,150370.0,0.68
task_234,0.0,0.0,13.36,24500.67,0.47,150370.0,4.74
task_235,0.0,0.0,13.36,24500.67,1.0,1.0,0.0
task_236,0.0,0.0,13.36,24500.67,1.0,1.0,0.68
task_237,0.0,0.0,13.36,24500.67,1.0,1.0,4.74
task_238,0.0,0.0,13.36,24500.67,1.0,7975.71,0.0
task_239,0.0,0.0,13.36,24500.67,1.0,7975.71,0.68
task_240,0.0,0.0,13.36,24500.67,1.0,7975.71,4.74
task_241,0.0,0.0,13.36,24500.67,1.0,150370.0,0.0
task_242,0.0,0.0,13.36,24500.67,1.0,150370.0,0.68
task_243,0.0,0.0,13.36,24500.67,1.0,150370.0,4.74
task_244,0.0,0.68,0.0,1.0,0.0,1.0,0.0
task_245,0.0,0.68,0.0,1.0,0.0,1.0,0.68
task_246,0.0,0.68,0.0,1.0,0.0,1.0,4.74
task_247,0.0,0.68,0.0,1.0,0.0,7975.71,0.0
task_248,0.0,0.68,0.0,1.0,0.0,7975.71,0.68
task_249,0.0,0.68,0.0,1.0,0.0,7975.71,4.74
task_250,0.0,0.68,0.0,1.0,0.0,150370.0,0.0
task_251,0.0,0.68,0.0,1.0,0.0,150370.0,0.68
task_252,0.0,0.68,0.0,1.0,0.0,150370.0,4.74
task_253,0.0,0.68,0.0,1.0,0.47,1.0,0.0
task_254,0.0,0.68,0.0,1.0,0.47,1.0,0.68
task_255,0.0,0.68,0.0,1.0,0.47,1.0,4.74
task_256,0.0,0.68,0.0,1.0,0.47,7975.71,0.0
task_257,0.0,0.68,0.0,1.0,0.47,7975.71,0.68
task_258,0.0,0.68,0.0,1.0,0.47,7975.71,4.74
task_259,0.0,0.68,0.0,1.0,0.47,150370.0,0.0
task_260,0.0,0.68,0.0,1.0,0.47,150370.0,0.68
task_261,0.0,0.68,0.0,1.0,0.47,150370.0,4.74
task_262,0.0,0.68,0.0,1.0,1.0,1.0,0.0
task_263,0.0,0.68,0.0,1.0,1.0,1.0,0.68
task_264,0.0,0.68,0.0,1.0,1.0,1.0,4.74
task_265,0.0,0.68,0.0,1.0,1.0,7975.71,0.0
task_266,0.0,0.68,0.0,1.0,1.0,7975.71,0.68
task_267,0.0,0.68,0.0,1.0,1.0,7975.71,4.74
task_268,0.0,0.68,0.0,1.0,1.0,150370.0,0.0
task_269,0.0,0.68,0.0,1.0,1.0,150370.0,0.68
task_270,0.0,0.68,0.0,1.0,1.0,150370.0,4.74
task_271,0.0,0.68,0.0,838.6,0.0,1.0,0.0
task_272,0.0,0.68,0.0,838.6,0.0,1.0,0.68
task_273,0.0,0.68,0.0,838.6,0.0,1.0,4.74
task_274,0.0,0.68,0.0,838.6,0.0,7975.71,0.0
task_275,0.0,0.68,0.0,838.6,0.0,7975.71,0.68
task_276,0.0,0.68,0.0,838.6,0.0,7975.71,4.74
task_277,0.0,0.68,0.0,838.6,0.0,150370.0,0.0
task_278,0.0,0.68,0.0,838.6,0.0,150370.0,0.68
task_279,0.0,0.68,0.0,838.6,0.0,150370.0,4.74
task_280,0.0,0.68,0.0,838.6,0.47,1.0,0.0
task_281,0.0,0.68,0.0,838.6,0.47,1.0,0.68
task_282,0.0,0.68,0.0,838.6,0.47,1.0,4.74
task_283,0.0,0.68,0.0,838.6,0.47,7975.71,0.0
task_284,0.0,0.68,0.0,838.6,0.47,7975.71,0.68
task_285,0.0,0.68,0.0,838.6,0.47,7975.71,4.74
task_286,0.0,0.68,0.0,838.6,0.47,150370.0,0.0
task_287,0.0,0.68,0.0,838.6,0.47,150370.0,0.68
task_288,0.0,0.68,0.0,838.6,0.47,150370.0,4.74
task_289,0.0,0.68,0.0,838.6,1.0,1.0,0.0
task_290,0.0,0.68,0.0,838.6,1.0,1.0,0.68
task_291,0.0,0.68,0.0,838.6,1.0,1.0,4.74
task_292,0.0,0.68,0.0,838.6,1.0,7975.71,0.0
task_293,0.0,0.68,0.0,838.6,1.0,7975.71,0.68
task_294,0.0,0.68,0.0,838.6,1.0,7975.71,4.74
task_295,0.0,0.68,0.0,838.6,1.0,150370.0,0.0
task_296,0.0,0.68,0.0,838.6,1.0,150370.0,0.68
task_297,0.0,0.68,0.0,838.6,1.0,150370.0,4.74
task_298,0.0,0.68,0.0,24500.67,0.0,1.0,0.0
task_299,0.0,0.68,0.0,24500.67,0.0,1.0,0.68
task_300,0.0,0.68,0.0,24500.67,0.0,1.0,4.74
task_301,0.0,0.68,0.0,24500.67,0.0,7975.71,0.0
task_302,0.0,0.68,0.0,24500.67,0.0,7975.71,0.68
task_303,0.0,0.68,0.0,24500.67,0.0,7975.71,4.74
task_304,0.0,0.68,0.0,24500.67,0.0,150370.0,0.0
task_305,0.0,0.68,0.0,24500.67,0.0,150370.0,0.68
task_306,0.0,0.68,0.0,24500.67,0.0,150370.0,4.74
task_307,0.0,0.68,0.0,24500.67,0.47,1.0,0.0
task_308,0.0,0.68,0.0,24500.67,0.47,1.0,0.68
task_309,0.0,0.68,0.0,24500.67,0.47,1.0,4.74
task_310,0.0,0.68,0.0,24500.67,0.47,7975.71,0.0
task_311,0.0,0.68,0.0,24500.67,0.47,7975.71,0.68
task_312,0.0,0.68,0.0,24500.67,0.47,7975.71,4.74
task_313,0.0,0.68,0.0,24500.67,0.47,150370.0,0.0
task_314,0.0,0.68,0.0,24500.67,0.47,150370.0,0.68
task_315,0.0,0.68,0.0,24500.67,0.47,150370.0,4.74
task_316,0.0,0.68,0.0,24500.67,1.0,1.0,0.0
task_317,0.0,0.68,0.0,24500.67,1.0,1.0,0.68
task_318,0.0,0.68,0.0,24500.67,1.0,1.0,4.74
task_319,0.0,0.68,0.0,24500.67,1.0,7975.71,0.0
task_320,0.0,0.68,0.0,24500.67,1.0,7975.71,0.68
task_321,0.0,0.68,0.0,24500.67,1.0,7975.71,4.74
task_322,0.0,0.68,0.0,24500.67,1.0,150370.0,0.0
task_323,0.0,0.68,0.0,24500.67,1.0,150370.0,0.68
task_324,0.0,0.68,0.0,24500.67,1.0,150370.0,4.74
task_325,0.0,0.68,6.24,1.0,0.0,1.0,0.0
task_326,0.0,0.68,6.24,1.0,0.0,1.0,0.68
task_327,0.0,0.68,6.24,1.0,0.0,1.0,4.74
task_328,0.0,0.68,6.24,1.0,0.0,7975.71,0.0
task_329,0.0,0.68,6.24,1.0,0.0,7975.71,0.68
task_330,0.0,0.68,6.24,1.0,0.0,7975.71,4.74
task_331,0.0,0.68,6.24,1.0,0.0,150370.0,0.0
task_332,0.0,0.68,6.24,1.0,0.0,150370.0,0.68
task_333,0.0,0.68,6.24,1.0,0.0,150370.0,4.74
task_334,0.0,0.68,6.24,1.0,0.47,1.0,0.0
task_335,0.0,0.68,6.24,1.0,0.47,1.0,0.68
task_336,0.0,0.68,6.24,1.0,0.47,1.0,4.74
task_337,0.0,0.68,6.24,1.0,0.47,7975.71,0.0
task_338,0.0,0.68,6.24,1.0,0.47,7975.71,0.68
task_339,0.0,0.68,6.24,1.0,0.47,7975.71,4.74
task_340,0.0,0.68,6.24,1.0,0.47,150370.0,0.0
task_341,0.0,0.68,6.24,1.0,0.47,150370.0,0.68
task_342,0.0,0.68,6.24,1.0,0.47,150370.0,4.74
task_343,0.0,0.68,6.24,1.0,1.0,1.0,0.0
task_344,0.0,0.68,6.24,1.0,1.0,1.0,0.68
task_345,0.0,0.68,6.24,1.0,1.0,1.0,4.74
task_346,0.0,0.68,6.24,1.0,1.0,7975.71,0.0
task_347,0.0,0.68,6.24,1.0,1.0,7975.71,0.68
task_348,0.0,0.68,6.24,1.0,1.0,7975.71,4.74
task_349,0.0,0.68,6.24,1.0,1.0,150370.0,0.0
task_350,0.0,0.68,6.24,1.0,1.0,150370.0,0.68
task_351,0.0,0.68,6.24,1.0,1.0,150370.0,4.74
task_352,0.0,0.68,6.24,838.6,0.0,1.0,0.0
task_353,0.0,0.68,6.24,838.6,0.0,1.0,0.68
task_354,0.0,0.68,6.24,838.6,0.0,1.0,4.74
task_355,0.0,0.68,6.24,838.6,0.0,7975.71,0.0
task_356,0.0,0.68,6.24,838.6,0.0,7975.71,0.68
task_357,0.0,0.68,6.24,838.6,0.0,7975.71,4.74
task_358,0.0,0.68,6.24,838.6,0.0,150370.0,0.0
task_359,0.0,0.68,6.24,838.6,0.0,150370.0,0.68
task_360,0.0,0.68,6.24,838.6,0.0,150370.0,4.74
task_361,0.0,0.68,6.24,838.6,0.47,1.0,0.0
task_362,0.0,0.68,6.24,838.6,0.47,1.0,0.68
task_363,0.0,0.68,6.24,838.6,0.47,1.0,4.74
task_364,0.0,0.68,6.24,838.6,0.47,7975.71,0.0
task_365,0.0,0.68,6.24,838.6,0.47,7975.71,0.68
task_366,0.0,0.68,6.24,838.6,0.47,7975.71,4.74
task_367,0.0,0.68,6.24,838.6,0.47,150370.0,0.0
task_368,0.0,0.68,6.24,838.6,0.47,150370.0,0.68
task_369,0.0,0.68,6.24,838.6,0.47,150370.0,4.74
task_370,0.0,0.68,6.24,838.6,1.0,1.0,0.0
task_371,0.0,0.68,6.24,838.6,1.0,1.0,0.68
task_372,0.0,0.68,6.24,838.6,1.0,1.0,4.74
task_373,0.0,0.68,6.24,838.6,1.0,7975.71,0.0
task_374,0.0,0.68,6.24,838.6,1.0,7975.71,0.68
task_375,0.0,0.68,6.24,838.6,1.0,7975.71,4.74
task_376,0.0,0.68,6.24,838.6,1.0,150370.0,0.0
task_377,0.0,0.68,6.24,838.6,1.0,150370.0,0.68
task_378,0.0,0.68,6.24,838.6,1.0,150370.0,4.74
task_379,0.0,0.68,6.24,24500.67,0.0,1.0,0.0
task_380,0.0,0.68,6.24,24500.67,0.0,1.0,0.68
task_381,0.0,0.68,6.24,24500.67,0.0,1.0,4.74
task_382,0.0,0.68,6.24,24500.67,0.0,7975.71,0.0
task_383,0.0,0.68,6.24,24500.67,0.0,7975.71,0.68
task_384,0.0,0.68,6.24,24500.67,0.0,7975.71,4.74
task_385,0.0,0.68,6.24,24500.67,0.0,150370.0,0.0
task_386,0.0,0.68,6.24,24500.67,0.0,150370.0,0.68
task_387,0.0,0.68,6.24,24500.67,0.0,150370.0,4.74
task_388,0.0,0.68,6.24,24500.67,0.47,1.0,0.0
task_389,0.0,0.68,6.24,24500.67,0.47,1.0,0.68
task_390,0.0,0.68,6.24,24500.67,0.47,1.0,4.74
task_391,0.0,0.68,6.24,24500.67,0.47,7975.71,0.0
task_392,0.0,0.68,6.24,24500.67,0.47,7975.71,0.68
task_393,0.0,0.68,6.24,24500.67,0.47,7975.71,4.74
task_394,0.0,0.68,6.24,24500.67,0.47,150370.0,0.0
task_395,0.0,0.68,6.24,24500.67,0.47,150370.0,0.68
task_396,0.0,0.68,6.24,24500.67,0.47,150370.0,4.74
task_397,0.0,0.68,6.24,24500.67,1.0,1.0,0.0
task_398,0.0,0.68,6.24,24500.67,1.0,1.0,0.68
task_399,0.0,0.68,6.24,24500.67,1.0,1.0,4.74
task_400,0.0,0.68,6.24,24500.67,1.0,7975.71,0.0
task_401,0.0,0.68,6.24,24500.67,1.0,7975.71,0.68
task_402,0.0,0.68,6.24,24500.67,1.0,7975.71,4.74
task_403,0.0,0.68,6.24,24500.67,1.0,150370.0,0.0
task_404,0.0,0.68,6.24,24500.67,1.0,150370.0,0.68
task_405,0.0,0.68,6.24,24500.67,1.0,150370.0,4.74
task_406,0.0,0.68,13.36,1.0,0.0,1.0,0.0
task_407,0.0,0.68,13.36,1.0,0.0,1.0,0.68
task_408,0.0,0.68,13.36,1.0,0.0,1.0,4.74
task_409,0.0,0.68,13.36,1.0,0.0,7975.71,0.0
task_410,0.0,0.68,13.36,1.0,0.0,7975.71,0.68
task_411,0.0,0.68,13.36,1.0,0.0,7975.71,4.74
task_412,0.0,0.68,13.36,1.0,0.0,150370.0,0.0
task_413,0.0,0.68,13.36,1.0,0.0,150370.0,0.68
task_414,0.0,0.68,13.36,1.0,0.0,150370.0,4.74
task_415,0.0,0.68,13.36,1.0,0.47,1.0,0.0
task_416,0.0,0.68,13.36,1.0,0.47,1.0,0.68
task_417,0.0,0.68,13.36,1.0,0.47,1.0,4.74
task_418,0.0,0.68,13.36,1.0,0.47,7975.71,0.0
task_419,0.0,0.68,13.36,1.0,0.47,7975.71,0.68
